,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
12,1287780622707105795,1287780622707105795,1595865800000,2020-07-27 18:03:20,"Paris, Madrid (heure d’été)",,#PlusDe70kgEtSereine je m’appelle Ceren,['#plusde70kgetsereine'],[],1160289646330490882,1160289646330490882,cutiiechan,Geisha,1,18,https://twitter.com/cutiiechan/status/1287780622707105795,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1160289646330490882', 'username': 'cutiiechan'}]",,,,
13,1287780593170874369,1287780593170874369,1595865793000,2020-07-27 18:03:13,"Paris, Madrid (heure d’été)",,+ que sereine ouais💆🏻‍♀️ #PlusDe70kgEtSereine  pic.twitter.com/nq4yWmO8gQ,['#plusde70kgetsereine'],[],1042124573263757313,1042124573263757313,way2dee,tydy,1,18,https://twitter.com/way2dee/status/1287780593170874369,False,4,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1042124573263757313', 'username': 'way2dee'}]",,,,
14,1287780567250014210,1287780567250014210,1595865787000,2020-07-27 18:03:07,"Paris, Madrid (heure d’été)",,"Y'en a quelques une avec mon permis D , je les soulève hein 

Snap : Milka-malik 

#PlusDe70kgEtSereine",['#plusde70kgetsereine'],[],2905424249,2905424249,SouleyMwaPas,✪ SΩULEΨ ⍟⃝,1,18,https://twitter.com/SouleyMwaPas/status/1287780567250014210,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '2905424249', 'username': 'SouleyMwaPas'}]",,,,
15,1287780543438913538,1287780543438913538,1595865782000,2020-07-27 18:03:02,"Paris, Madrid (heure d’été)",,"#PlusDe70kgEtSereine Ça m’empêchera pas de penser que c’est un risque pour la santé. C’est comme les gens qui roulent vite en voiture ou ceux qui mettent pas de capotes. Tu prends des risques et tu es content tant pis pour toi. Je juge pas bien sûr, faut juste pas s’en venter",['#plusde70kgetsereine'],[],1168873741071335424,1168873741071335424,sofianeblhs,Fianso,1,18,https://twitter.com/sofianeblhs/status/1287780543438913538,False,0,1,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1168873741071335424', 'username': 'sofianeblhs'}]",,,,
16,1287780518998794249,1287780518998794249,1595865776000,2020-07-27 18:02:56,"Paris, Madrid (heure d’été)",,Quand le 3/4 des meufs du #PlusDe70kgEtSereine font plus épaisse que toi alors que tu as tout donné pour atteindre cette fourchette de poids  pic.twitter.com/o6KFkOigll,['#plusde70kgetsereine'],[],2896524615,2896524615,PucciBestJojo,Gliton IT'S JOJO FRIDAY SOON,1,18,https://twitter.com/PucciBestJojo/status/1287780518998794249,False,1,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '2896524615', 'username': 'PucciBestJojo'}]",,,,
17,1287780492004204545,1287780492004204545,1595865769000,2020-07-27 18:02:49,"Paris, Madrid (heure d’été)",,"les connards qui viennent faire chier sur #PlusDe70kgEtSereine  avec leurs baveries sur #PlusDe70kgEtSereine l'hypertension, le diabète cancer du foie , maladies cardiovasculaires sachez qu'on peut peser +de70k et être en bonne santé..cf IMC !","['#plusde70kgetsereine', '#plusde70kgetsereine']",[],2893061517,2893061517,ttotwi,Gardener,1,18,https://twitter.com/ttotwi/status/1287780492004204545,False,0,1,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '2893061517', 'username': 'ttotwi'}]",,,,
18,1287780462753087488,1287780462753087488,1595865762000,2020-07-27 18:02:42,"Paris, Madrid (heure d’été)",,"Le hashtag #PlusDe70kgEtSereine 😍❤️
Beauté, Inspiration, Réalisme...Mille mercis ! 
Une vraie bouffée d'oxygène en cette période où l'on nous martèle le crâne avec ce fameux ""body summer mood"". 

CON-TI-NU-EZ !!!",['#plusde70kgetsereine'],[],1129069767090987008,1129069767090987008,jaineandco,Jaïne & Co,1,18,https://twitter.com/jaineandco/status/1287780462753087488,False,1,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1129069767090987008', 'username': 'jaineandco'}]",,,,
19,1287780453097906176,1287780453097906176,1595865760000,2020-07-27 18:02:40,"Paris, Madrid (heure d’été)",,"Ne doutez pas de vous, vous êtes tous et toutes beaux/belles ❤️❤️#PlusDe70kgEtSereine",['#plusde70kgetsereine'],[],942144645068451840,942144645068451840,Lencre_DAlexia,Alex 🥺,1,18,https://twitter.com/Lencre_DAlexia/status/1287780453097906176,False,1,0,1,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '942144645068451840', 'username': 'Lencre_DAlexia'}]",,,,
20,1287780442863742978,1287780442863742978,1595865758000,2020-07-27 18:02:38,"Paris, Madrid (heure d’été)",,"j’suis contente que ce hashtag existe, vous êtes tou.s.te magnifique 💖#PlusDe70kgEtSereine  pic.twitter.com/e4rxZCBa4x",['#plusde70kgetsereine'],[],1160368245670592512,1160368245670592512,ynaissee,sacha l’amour de ma vie,1,18,https://twitter.com/ynaissee/status/1287780442863742978,False,6,1,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1160368245670592512', 'username': 'ynaissee'}]",,,,
21,1287780433082683393,1287780433082683393,1595865755000,2020-07-27 18:02:35,"Paris, Madrid (heure d’été)",,#PlusDe70kgEtSereine ARRTEZ AVEC VOS # NUL plus de 70 kilos et bien dans ma peau ouais mais votre elle elle et pas bien vous etent en mauvais santé et a la place de dire j'aime être en mauvaise santé faut penser le contraire pour se mettre à fond pour essayer de se muscler un peu,['#plusde70kgetsereine'],[],1120796647661948930,1120796647661948930,shinyraille,Law🇲🇦,1,18,https://twitter.com/shinyraille/status/1287780433082683393,False,0,0,0,,PlusDe70kgEtSereine,,,,,,,"[{'user_id': '1120796647661948930', 'username': 'shinyraille'}]",,,,
